Id,Prediction
fadg0_si1279_1,sil
fadg0_si1279_2,sil
fadg0_si1279_3,sil
fadg0_si1279_4,sil
fadg0_si1279_5,sil
fadg0_si1279_6,sil
fadg0_si1279_7,sil
fadg0_si1279_8,sil
fadg0_si1279_9,sil
fadg0_si1279_10,sil
fadg0_si1279_11,sil
fadg0_si1279_12,p
fadg0_si1279_13,p
fadg0_si1279_14,p
fadg0_si1279_15,p
fadg0_si1279_16,ah
fadg0_si1279_17,s
fadg0_si1279_18,r
fadg0_si1279_19,r
fadg0_si1279_20,r
fadg0_si1279_21,r
fadg0_si1279_22,r
fadg0_si1279_23,r
fadg0_si1279_24,r
fadg0_si1279_25,eh
fadg0_si1279_26,eh
fadg0_si1279_27,ae
fadg0_si1279_28,ih
fadg0_si1279_29,sil
fadg0_si1279_30,sil
fadg0_si1279_31,sil
fadg0_si1279_32,sil
fadg0_si1279_33,sil
fadg0_si1279_34,sil
fadg0_si1279_35,k
fadg0_si1279_36,k
fadg0_si1279_37,k
fadg0_si1279_38,sil
fadg0_si1279_39,s
fadg0_si1279_40,s
fadg0_si1279_41,s
fadg0_si1279_42,s
fadg0_si1279_43,s
fadg0_si1279_44,s
fadg0_si1279_45,s
fadg0_si1279_46,s
fadg0_si1279_47,s
fadg0_si1279_48,s
fadg0_si1279_49,f
fadg0_si1279_50,sil
fadg0_si1279_51,p
fadg0_si1279_52,l
fadg0_si1279_53,k
fadg0_si1279_54,aa
fadg0_si1279_55,aa
fadg0_si1279_56,aa
fadg0_si1279_57,aa
fadg0_si1279_58,aa
fadg0_si1279_59,aa
fadg0_si1279_60,aa
fadg0_si1279_61,aa
fadg0_si1279_62,aa
fadg0_si1279_63,aa
fadg0_si1279_64,aa
fadg0_si1279_65,aa
fadg0_si1279_66,aa
fadg0_si1279_67,r
fadg0_si1279_68,r
fadg0_si1279_69,r
fadg0_si1279_70,r
fadg0_si1279_71,r
fadg0_si1279_72,r
fadg0_si1279_73,ay
fadg0_si1279_74,ae
fadg0_si1279_75,ae
fadg0_si1279_76,ae
fadg0_si1279_77,n
fadg0_si1279_78,n
fadg0_si1279_79,ae
fadg0_si1279_80,ae
fadg0_si1279_81,ae
fadg0_si1279_82,ay
fadg0_si1279_83,ay
fadg0_si1279_84,ay
fadg0_si1279_85,aa
fadg0_si1279_86,aa
fadg0_si1279_87,aa
fadg0_si1279_88,aa
fadg0_si1279_89,aa
fadg0_si1279_90,aa
fadg0_si1279_91,aa
fadg0_si1279_92,l
fadg0_si1279_93,l
fadg0_si1279_94,l
fadg0_si1279_95,l
fadg0_si1279_96,l
fadg0_si1279_97,sil
fadg0_si1279_98,sil
fadg0_si1279_99,sil
fadg0_si1279_100,t
fadg0_si1279_101,t
fadg0_si1279_102,t
fadg0_si1279_103,f
fadg0_si1279_104,t
fadg0_si1279_105,t
fadg0_si1279_106,t
fadg0_si1279_107,hh
fadg0_si1279_108,r
fadg0_si1279_109,r
fadg0_si1279_110,er
fadg0_si1279_111,er
fadg0_si1279_112,aa
fadg0_si1279_113,aa
fadg0_si1279_114,r
fadg0_si1279_115,r
fadg0_si1279_116,r
fadg0_si1279_117,r
fadg0_si1279_118,ay
fadg0_si1279_119,ae
fadg0_si1279_120,ae
fadg0_si1279_121,n
fadg0_si1279_122,n
fadg0_si1279_123,ae
fadg0_si1279_124,ae
fadg0_si1279_125,ae
fadg0_si1279_126,ae
fadg0_si1279_127,ae
fadg0_si1279_128,ae
fadg0_si1279_129,sil
fadg0_si1279_130,sil
fadg0_si1279_131,sil
fadg0_si1279_132,sil
fadg0_si1279_133,p
fadg0_si1279_134,t
fadg0_si1279_135,t
fadg0_si1279_136,s
fadg0_si1279_137,t
fadg0_si1279_138,t
fadg0_si1279_139,t
fadg0_si1279_140,t
fadg0_si1279_141,ih
fadg0_si1279_142,ih
fadg0_si1279_143,ih
fadg0_si1279_144,ih
fadg0_si1279_145,ih
fadg0_si1279_146,ih
fadg0_si1279_147,ih
fadg0_si1279_148,ih
fadg0_si1279_149,ih
fadg0_si1279_150,ih
fadg0_si1279_151,ih
fadg0_si1279_152,n
fadg0_si1279_153,f
fadg0_si1279_154,f
fadg0_si1279_155,f
fadg0_si1279_156,f
fadg0_si1279_157,f
fadg0_si1279_158,f
fadg0_si1279_159,sil
fadg0_si1279_160,f
fadg0_si1279_161,f
fadg0_si1279_162,t
fadg0_si1279_163,t
fadg0_si1279_164,f
fadg0_si1279_165,f
fadg0_si1279_166,sil
fadg0_si1279_167,sil
fadg0_si1279_168,sil
fadg0_si1279_169,sil
fadg0_si1279_170,sil
fadg0_si1279_171,sil
fadg0_si1279_172,sil
fadg0_si1279_173,sil
fadg0_si1279_174,sil
fadg0_si1279_175,sil
fadg0_si1279_176,sil
fadg0_si1279_177,sil
fadg0_si1279_178,sil
fadg0_si1279_179,sil
fadg0_si1279_180,sil
fadg0_si1909_1,sil
fadg0_si1909_2,sil
fadg0_si1909_3,sil
fadg0_si1909_4,sil
fadg0_si1909_5,sil
fadg0_si1909_6,sil
fadg0_si1909_7,sil
fadg0_si1909_8,sil
fadg0_si1909_9,sil
fadg0_si1909_10,sil
fadg0_si1909_11,s
fadg0_si1909_12,sil
fadg0_si1909_13,t
fadg0_si1909_14,t
fadg0_si1909_15,t
fadg0_si1909_16,f
fadg0_si1909_17,sil
fadg0_si1909_18,sil
fadg0_si1909_19,sil
fadg0_si1909_20,sil
fadg0_si1909_21,f
fadg0_si1909_22,f
fadg0_si1909_23,f
fadg0_si1909_24,f
fadg0_si1909_25,f
fadg0_si1909_26,ae
fadg0_si1909_27,ae
fadg0_si1909_28,ae
fadg0_si1909_29,ae
fadg0_si1909_30,ae
fadg0_si1909_31,ae
fadg0_si1909_32,ae
fadg0_si1909_33,ae
fadg0_si1909_34,ae
fadg0_si1909_35,ae
fadg0_si1909_36,ae
fadg0_si1909_37,ae
fadg0_si1909_38,ae
fadg0_si1909_39,ae
fadg0_si1909_40,ae
fadg0_si1909_41,ae
fadg0_si1909_42,ae
fadg0_si1909_43,ae
fadg0_si1909_44,sil
fadg0_si1909_45,f
fadg0_si1909_46,f
fadg0_si1909_47,ch
fadg0_si1909_48,sh
fadg0_si1909_49,sh
fadg0_si1909_50,sh
fadg0_si1909_51,sh
fadg0_si1909_52,sh
fadg0_si1909_53,sh
fadg0_si1909_54,sh
fadg0_si1909_55,sh
fadg0_si1909_56,sh
fadg0_si1909_57,sh
fadg0_si1909_58,sh
fadg0_si1909_59,sh
fadg0_si1909_60,sh
fadg0_si1909_61,sh
